amfi_code,sortino_ratio,sortino_rank
148567,2.409055982185141,1.0
120843,2.387294819301244,2.0
148569,2.166757255394657,3.0
119551,2.166271744040426,4.0
120505,2.0473359344107966,5.0
120507,1.9189951390672597,6.0
149323,1.8939290728188356,7.0
118632,1.8745209746203697,8.0
100033,1.846950384658414,9.0
120504,1.8299932374310688,10.0
101206,1.8238221245494637,11.0
119094,1.721539504030979,12.0
119598,1.6895374158843295,13.0
148568,1.6557875841042058,14.0
119552,1.6342152696671368,15.0
149324,1.63364322834609,16.0
102885,1.4633559194130215,17.0
120503,1.3623043410349087,18.0
125497,1.3542397613311847,19.0
118633,1.1802639217756656,20.0
118635,1.1645718432365146,21.0
120506,1.1182652693628445,22.0
102887,1.111253186871632,23.0
120841,0.8887219510725862,24.0
149322,0.78521142904955,25.0
118634,0.7593103107066153,26.0
120844,0.643569798662029,27.0
125498,0.5274180707346448,28.0
101207,0.28994346278442457,29.0
119093,0.2456948805646945,30.0
120842,0.14318971047141585,31.0
119092,0.07726939989269842,32.0
119599,-0.08104211157829576,33.0
119095,-0.11460687214622638,34.0
119120,-0.2922063461301404,35.0
100016,-0.326891519718518,36.0
102886,-0.3284565753223479,37.0
118636,-0.5264477441439915,38.0
100025,-0.8560302343202002,39.0
101208,-0.859988296049254,40.0
